,title,rating,gross,votes,stars
251,Supremacy,R,,4321,5.7
252,Back in the Day,R,,1617,5
253,When the Game Stands Tall,PG,30127963,14962,6.7
254,Gutshot Straight,R,,1429,3.7
255,Two Men in Town,R,,1924,5.7
256,Frank vs. God,PG,,225,6.1
257,Asylum,R,,366,2.5
258,Black Sea,R,1171559,33616,6.4
259,The Book of Life,PG,50151543,62530,7.3
260,A Short History of Decay,R,,481,5.9
261,The Raid 2,R,2625803,110454,8
262,Gone Girl,R,167767189,819071,8.1
263,The Visitant,PG-13,,381,4.6
264,A Little Game,PG,,434,6.3
265,The Grand Budapest Hotel,R,59100318,677077,8.1
266,Muppets Most Wanted,PG,51183113,30513,6.4
267,The Possession of Michael King,R,,11318,5.7
268,Making the Rules,R,,294,3.5
269,Baby Geniuses and the Treasures of Egypt,G,,3549,3.9
270,Northmen - A Viking Saga,R,,8806,5.4
271,The Appearing,R,,1361,3
272,The Devil's Hand,PG-13,4239,3535,4.9
273,22 Jump Street,R,191719337,335635,7
274,Zarra's Law,R,,164,4.7
275,Falcon Rising,R,8691,7613,5.8
276,Highway to Dhampus,PG,,164,8
277,Friended to Death,R,,445,4.9
278,Jessabelle,PG-13,,21784,5.4
279,23 Blast,PG-13,485128,1666,6.5
280,The Green Prince,PG-13,257779,2538,7.2
281,Reasonable Doubt,R,,18209,5.7
282,Wild,R,37880356,116008,7.1
283,Chemical Peel,R,,562,4.8
284,Small Time,R,,1268,6
285,The Hobbit: The Battle of the Five Armies,PG-13,255119788,459418,7.4
286,Healing,R,,774,6.7
287,Grantham & Rose,PG,,239,5.6
288,Behaving Badly,R,,10043,4.5
289,Dawn,PG,,45,6.3
290,La belle et la bête,PG-13,,19054,6.4
291,The Better Angels,PG,,1232,6.1
292,Endless Love,PG-13,23393765,39462,6.3
293,Zero Point,PG,,897,7.4
294,Freezer,R,,3181,5.2
295,Falcon Song,PG,,42,5.4
296,The Identical,PG,2817092,2474,5.2
297,The Captive,R,,29236,5.9
298,Deepsea Challenge,PG,149879,1551,6.8
299,The Expendables 3,PG-13,39322544,164166,6.1
300,Madame Bovary,R,,7361,5.7
301,The Woman in Black 2: Angel of Death,PG-13,26496583,25865,4.8
302,East Side Sushi,PG,3500000,2707,7.1
303,Leprechaun: Origins,R,,4849,3.2
304,The Rover,R,1109199,43125,6.4
305,Bad Country,R,,7843,5.8
306,Barefoot,PG-13,11766,22474,6.6
307,Rio 2,G,131538435,76747,6.3
308,Squatters,R,,1485,5.8
309,"2 francos, 40 pesetas",PG-13,,394,5.8
310,Tapped Out,R,,2054,5.3
311,Murieron por encima de sus posibilidades,R,,405,5.1
312,Lost River,R,43282,16553,5.8
313,Need for Speed,PG-13,43577636,159857,6.4
314,Space Station 76,R,,7661,4.9
315,The Forger,R,,11567,5.8
316,Blood First,R,,83,4
317,Deliver Us from Evil,R,30577122,67991,6.2
318,Meet the Patels,PG,1691439,3095,7.2
319,The Popcorn Chronicles,R,,743,4.1
320,In the Name of the King: The Last Mission,R,,1876,3.1
321,Covert Operation,R,,347,2.7
322,Swearnet: The Movie,NC-17,,2303,5.9
323,Fed Up,PG,1538899,11246,7.7
324,Life Itself,R,809724,14541,7.8
325,Jacky in the Kingdom of Women,G,,1774,6.1
326,Haunt,R,,7786,5.2
327,Road to Paloma,R,,4539,6.1
328,A Long Way Off,PG,28951,163,4.5
329,The Girl on the Train,R,9573000,874,4.3
330,1 Chance 2 Dance,G,,514,4.8
331,Cuban Fury,R,90310,17519,6.2
332,The Journey Home,PG,,740,6.1
333,Lap Dance,R,,2234,4.9
334,Kill Me Three Times,R,23840,18869,5.9
335,The Scribbler,R,,4622,5.4
336,Predestination,R,68372,241128,7.5
337,The Homesman,R,2428883,29438,6.6
338,They Came Together,R,,20612,5.5
339,The November Man,R,24984868,61595,6.3
340,Desert Dancer,PG-13,143653,1739,6.1
341,Summer Snow,PG,,227,6.1
342,Ragamuffin,PG-13,,1091,6.8
343,The Perfect Wave,PG,,1062,4.6
344,Lucky Bastard,NC-17,,678,4.2
345,A Reason,R,12836,87,6.2
346,Creep,R,,36783,6.3
347,Taken 3,PG-13,89256424,173793,6
348,Son of a Gun,R,1411,25396,6.5
349,Clouds of Sils Maria,R,1811138,26521,6.7
350,The Reckoning,R,,1223,5.2
351,Bears,G,17769442,6304,7.4
352,The Principle,PG,86172,347,5.4
353,Queen of Carthage,R,,215,5.6
354,Road to the Open,PG,,105,6.6
355,Walk of Shame,R,39751,49818,6
356,The Single Moms Club,PG-13,15986272,5696,5.3
357,And So It Goes,PG-13,15155772,12314,5.8
358,Left Behind,PG-13,13998282,35776,3.1
359,Get on Up,PG-13,30513940,19933,6.9
360,Paranormal Activity: The Marked Ones,R,32462372,38769,5
361,Mr. Turner,R,3958546,23721,6.8
362,The Last Five Years,PG-13,137945,9163,5.9
363,Rob the Mob,R,206909,10505,6.3
364,Mercy,R,,4803,5
365,The Pirate Fairy,G,,11745,6.6
366,Amapola,R,,272,5
367,5 to 7,R,116400,17974,7.1
368,The Keeping Room,R,27166,6103,6
369,The Little Rascals Save the Day,PG,,1323,5.1
370,Cooties,R,55749,22115,5.7
371,Stretch,R,,28255,6.5
372,Aloft,R,52961,3227,5.3
373,Parts Per Billion,R,,1897,4.3
374,Garm Wars: The Last Druid,PG-13,,1211,4.8
375,An Evergreen Christmas,PG,,350,5.7
376,Frontera,PG-13,59306,7226,6.6
377,Rumors of Wars,PG-13,,435,4.6
378,Escobar: Paradise Lost,R,106869,20475,6.5
379,20 Ft Below: The Darkness Descending,R,,542,2.6
380,The Song,PG-13,1009620,2054,6
381,The Suicide Theory,R,,2405,6.5
382,The One I Wrote for You,PG,48643,268,5.9
383,God's Not Dead,PG,60755732,39448,4.7
384,The Yes Men Are Revolting,Unrated,48000,706,6.8
385,By the Gun,R,,2599,4.8
386,Haunting of Cellblock 11,R,,711,4.4
387,Born to Race: Fast Track,PG,,1896,5.3
388,Come Back to Me,R,4156,4783,5.9
389,Plastic,R,,7488,6
390,Iceman,R,7679,3254,4.8
391,Against the Sun,PG,,5126,6.5
392,A Million Ways to Die in the West,R,43139300,167079,6.1
393,The Town That Dreaded Sundown,R,,13058,5.6
394,Birdman or (The Unexpected Virtue of Ignorance),R,42340598,557946,7.7
395,Two-Bit Waltz,R,1989,392,5
396,Cut Snake,R,1625,1194,5.8
397,Life After Beth,R,80315,19177,5.6
398,Surrender,PG-13,,9,8
399,Julia,R,2710,1596,4.6
400,Whiplash,R,13092000,676785,8.5
401,The Fault in Our Stars,PG-13,124872350,332397,7.7
402,Freedom,R,,1634,6.3
403,The Town That Came A-Courtin',PG,,272,6.1
404,A Matter of Faith,PG,677577,1327,3.6
405,Dans la cour,R,,1268,6.3
406,Hellmouth,PG-13,,252,5.3
407,The Hornet's Nest,R,311975,2221,6.6
408,'71,R,1268760,48838,7.2
409,Gloria,R,,1009,6.6
410,Boulevard,R,121150,7877,5.8
411,Noble,PG-13,347321,1486,6.7
412,Step Up All In,PG-13,14904384,31670,6
413,Catch Me Daddy,R,,1269,6.3
414,Pump,PG,73500,617,7.7
415,Jazz and the Philharmonic,G,,,
416,Match,R,28041,2045,6.7
417,A Little Chaos,R,551609,19674,6.5
418,Love Is Strange,R,2252580,11867,6.7
419,Kurmanjan datka,PG-13,,3252,7.4
420,All of Her,PG-13,,32,7
421,The Good Lie,PG-13,2716989,26387,7.4
422,About Alex,R,,6900,6.4
423,Miss Julie,PG-13,,4967,5.4
424,Lake Los Angeles,PG,,124,6.7
425,Keep on Keepin' On,R,162530,921,7.8
426,In Order of Disappearance,R,49284,23659,7.2
427,Night at the Museum: Secret of the Tomb,PG,113746621,101271,6.2
428,Young Ones,R,,9025,5.9
429,Dos disparos,PG-13,,470,6.3
430,Saint Laurent,R,425249,5117,6.2
431,Yves Saint Laurent,R,716679,10884,6.3
432,Fury,R,85817906,409073,7.6
433,Jersey Shore Massacre,R,,1117,2.8
434,The Remaining,PG-13,1169603,6534,4.3
435,The Riot Club,R,,20871,6
436,The Salvation,R,5000,34848,6.7
437,Tell,R,,1576,5.6
438,What We Did on Our Holiday,PG-13,,18803,6.9
439,2 Bedroom 1 Bath,R,,304,3.8
440,American Native,G,,35,6.5
441,"Two Days, One Night",PG-13,1436243,43502,7.3
442,Inspired Guns,PG,,113,5.6
443,The Christmas Candle,PG,2209479,1736,6.2
444,Littekens,PG,,72,7.7
445,Rosewater,R,3128941,10110,6.6
446,Devil's Due,R,15818967,15851,4.1
447,Apparition of Evil,R,,74,3.7
448,The One I Love,R,511635,33422,7.1
449,Pretend We're Kissing,R,,288,5.6
450,Welcome to New York,R,,3423,5.4
451,Search Party,R,,6689,5.6
452,Une rencontre,PG,,2932,6.3
453,Phoenix,PG-13,,15957,7.3
454,Small Town Santa,PG,,358,4.2
455,Veronica Mars,PG-13,3319109,49352,6.8
456,Mi corazón,PG-13,,11,7.9
457,Zombeavers,R,8163,15796,4.8
458,Top Five,R,25277561,25346,6.4
459,America: Imagine the World Without Her,PG-13,14444502,6432,5.4
460,As Night Comes,R,,204,3.9
461,Gemma Bovery,R,191512,5556,6.4
462,The Interview,R,6105175,298354,6.5
463,Welcome to Me,R,608852,17784,5.9
464,The Pyramid,R,2756333,22497,4.6
